Empresa;Filial;Cód. Contrato;Nº Contrato;Ativo;Adm.;Público;ANS/IMR;Crítico;Nível Crit.;Nome Fantasia;UF Cli.;Cód. Cliente;Nome Cliente;Data Início;Data Término;Classif. C. Custo;Consultor;Pregão;Serv. Prestado;Valor Mensal
1;3;244;342.009;I;N;S;;N;;IPEM - INSTITUTO DE PESOS E MEDIDAS DO ESTADO DO PARANÁ;PR;705;INSTITUTO DE PESOS E MEDIDAS DO PARANA;07/05/2009;03/05/2014;10252005;Michele Klug Mendes;;Limpeza;3840
1;3;245;72.009;I;N;S;;N;;JUCEPAR - JUNTA COMERCIAL DO ESTADO DO PARANÁ;PR;452;JUNTA COMERCIAL DO PARANÁ;01/05/2009;31/10/2012;10252002;;;Limpeza Mão de Obra Copa;
1;3;252;92.009;I;N;S;;N;;SEIM - SECRETARIA DO ESTADO DA INDÚSTRIA, DO COMÉRCIO E ASSUNTOS DO MERCOSUL;PR;1007;SECRETARIA DE ESTADO DA INDÚSTRIA, DO COMÉRCIO E ASSUNTOS DO MERCOSUL;01/06/2009;31/03/2011;10252007;;;Limpeza;
1;3;138;CT 4155/2008;I;N;S;;N;;Caixa Econômica Federal PR;PR;922;CAIXA ECONÔMICA FEDERAL DO PARANÁ E SANTA CATARINA;29/09/2008;28/09/2013;10205001;;;Telefonia Copa;
1;3;144;09.0158.O.B;I;N;S;;N;;SEOP - SECRETARIA DE OBRAS PÚBLICAS DO ESTADO DO PARANÁ;PR;692;SECRETARIA DE OBRAS DO ESTADO DO PARANA;01/07/2009;31/12/2011;10255004;Liana Souza;;Limpeza Mão de Obra;1330,22
1;3;155;242.009;I;N;S;;N;;IAPAR;PR;774;INST. AGRONOMO DO PARANÁ - IAPAR;01/05/2009;31/10/2012;10244011;;;Limpeza;
1;3;168;2005.SG.0027;I;N;S;;N;;MINISTÉRIO DA FAZENDA DO PARANÁ;PR;509;PROCURADORIA DA FAZENDA NACIONAL DO PARANÁ;16/11/2005;15/11/2010;10234008;;;Limpeza;
1;3;102;001.09;I;N;S;;N;;CENTRO DE CONVENÇÕES DE CURITIBA;PR;998;CENTRO DE CONVENÇÕES CURITIBA S/A;01/05/2009;30/05/2014;10260003;;;Limpeza Mão de Obra;
1;3;493;372.009;I;N;S;;N;;IAP - INSTITUTO AMBIENTAL DO PARANA;PR;719;INSTITUTO ÁGUA E TERRA;04/05/2009;16/07/2014;10254006;;;Limpeza Mão de Obra Jardinagem;
1;3;494;292.009;I;N;S;;N;;IAP - INSTITUTO AMBIENTAL DO PARANA;PR;719;INSTITUTO ÁGUA E TERRA;01/08/2009;31/07/2011;10254008;;;Limpeza Conservação Mão de Obra;
1;3;495;362.009;I;N;S;;N;;IAP - INSTITUTO AMBIENTAL DO PARANA;PR;719;INSTITUTO ÁGUA E TERRA;01/06/2009;31/10/2013;10254007;;;Limpeza Mão de Obra Jardinagem;
1;3;496;432.009;I;N;S;;N;;IAP - INSTITUTO AMBIENTAL DO PARANA;PR;719;INSTITUTO ÁGUA E TERRA;01/08/2009;30/04/2015;10254009;;;Limpeza Mão de Obra Jardinagem;
1;3;197;82.009;I;N;S;;N;;EMATER;PR;98;INSTITUTO PARANAENSE DE ASSISTENCIA TECNICA E EXTENSÃO RURAL;04/05/2009;03/05/2015;10244007;;;Limpeza;
1;3;200;192.009;I;N;S;;N;;PGE - PROCURADORIA GERAL DO ESTADO DO PR;PR;2636;FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO PARANA - FEPGE/PR;04/05/2009;21/07/2014;10215002;;;Limpeza Mão de Obra Copa;
1;3;211;72.009;I;N;S;;N;;PGE - PROCURADORIA GERAL DO ESTADO DO PR;PR;700;FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO PARANA;04/05/2009;03/11/2013;10215003;;;Limpeza;
1;3;212;102.009;I;N;S;;N;;PGE - PROCURADORIA GERAL DO ESTADO DO PR;PR;700;FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO PARANA;01/06/2009;30/06/2013;10215004;;;Limpeza;
1;3;667;362.009;I;N;S;;N;;UENP - Universidade Estadual do Norte Paraná;PR;1277;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ - UENP;01/02/2010;31/01/2012;10249009;;;Limpeza;
1;3;687;005.09;I;N;S;;N;;CLASPAR - Empresa Paranaense de Classificação de P;PR;1195;EMPRESA PARANAENSE DE CLASSIFICAÇÃO DE PRODUTOS - CLASPAR;01/03/2010;31/07/2010;10244027;;;Limpeza;
1;3;444;CT 02/2009;I;N;N;;N;;PLAENGE EMPREENDIMENTOS;PR;1015;PLAENGE EMPREENDIMENTOS LTDA;04/08/2009;31/03/2011;10210003;;;Limpeza Conservação;
1;3;612;200.974.194.097;I;N;S;;N;;BANCO DO BRASIL - LOTE 1;PR;920;BANCO DO BRASIL;24/11/2009;24/11/2012;10204012;;;Limpeza;
1;3;447;692.009;I;N;S;;N;;DETRAN - DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANÁ;PR;703;DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANA;01/09/2009;03/05/2011;10258026;;;Limpeza;
1;3;448;093.09;I;N;S;;N;;SECRETARIA DO TRABALHO, EMPREGO E PROMOÇÃO SOCIAL;PR;681;SECRETARIA DE ESTADO, DO TRABALHO EMPREGO E ECONOMIA SOLIDÁRIA;01/09/2009;02/09/2009;10259005;;;Limpeza;
1;3;450;62.009;I;N;S;;N;;SUDERHSA;PR;921;SUPERINTENDÊNCIA DE DESENVOLVIMENTO DE RECURSOS HÍDRICOS E SANEAMENTO AMBIENTAL;01/09/2009;28/02/2010;10202125;;;Limpeza;
1;3;452;1.272.009;I;N;S;;N;;DER - DEPARTAMENTO DE ESTRADAS DE RODAGEM;PR;857;DER CURITIBA SEDE;21/09/2009;21/09/2011;10251011;;;Limpeza Mão de Obra Jardinagem;
1;3;453;92.009;I;N;S;;N;;SEAP - SECRETARIA DE ESTADO DA ADMINISTRAÇÃO E PREVIDÊNCIA;PR;691;SECRETARIA DE ESTADO DA ADMINISTRAÇÃO E PREVIDENCIA - SEAP;01/09/2009;31/08/2013;10246002;Fernanda Maria Francisco;;Limpeza;1
1;3;359;026-SL/2006/0035;I;N;S;;N;;INFRAERO LONDRINA;PR;5;EMPRESA BRASILEIRA DE INFRA ESTRUTURA AEROPORTUARIA;24/03/2006;23/03/2011;10292001;Michele Klug Mendes;;Limpeza;1000
1;3;456;4.022.009;I;N;S;;N;;INSTITUTO DE CRIMINALÍSTICA;PR;697;SECRETARIA DE SEGURANÇA PUBLICA PR;01/09/2009;15/05/2013;10258027;;29/2009;Limpeza;
1;3;390;372.009;I;N;S;;N;;FERROESTE GUARAPUAVA;PR;694;ESTRADA DE FERRO PARANA OESTE S.A.;01/05/2009;31/08/2012;10251002;Michele Klug Mendes;;Limpeza;2476
1;3;458;1.002.009;I;N;S;;N;;DER - DEPARTAMENTO DE ESTRADAS DE RODAGEM;PR;857;DER CURITIBA SEDE;17/09/2009;17/09/2013;10251010;;;Limpeza;
1;3;481;1.332.009;I;N;S;;N;;DER - DEPARTAMENTO DE ESTRADAS DE RODAGEM;PR;1017;DER-SUP. REGIONAL CAMPOS GERAIS;01/09/2009;30/09/2014;10251013;;;Limpeza Mão de Obra Copa;
1;3;395;CT 92/2008;I;N;S;;N;;TJ/PR;PR;483;TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ;01/10/2008;15/09/2009;10202039;;;Limpeza;
1;3;397;762.009;I;N;S;;N;;SETP - SECRETARIA DO TRABALHO EMPREGO PROMOÇÃO SOCIAL;PR;681;SECRETARIA DE ESTADO, DO TRABALHO EMPREGO E ECONOMIA SOLIDÁRIA;04/05/2009;03/05/2011;10259002;;;Limpeza;
1;3;509;52.009;I;N;S;;N;;SETU - SECRETARIA DE ESTADO DO TURISMO;PR;683;SECRETARIA DE ESTADO DO TURISMO DO PR;04/05/2009;02/02/2013;10260001;;;Limpeza Copa;
1;3;511;199.09;I;N;S;;N;;IML - INSTITUTO MÉDICO LEGAL;PR;697;SECRETARIA DE SEGURANÇA PUBLICA PR;01/05/2009;31/10/2012;10258005;;;Limpeza Mão de Obra;
1;3;513;2.532.009;I;N;S;;N;;IML - INSTITUTO MÉDICO LEGAL;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;19/08/2009;31/05/2015;10258025;;;Limpeza;
1;3;514;1.962.009;I;N;S;;N;;IML - INSTITUTO MÉDICO LEGAL;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/05/2009;30/04/2014;10258028;;;Limpeza;
1;3;516;702.009;I;N;S;;N;;SEDS - SECRETARIA DE ESTADO DA FAMÍLIA E DESENVOLVIMENTO SOCIAL;PR;679;SECRETARIA DE ESTADO DA FAMÍLA E DESENVOLVIMENTO SOCIAL;01/08/2009;31/07/2013;10248003;;;Limpeza Copa;
1;3;517;1.962.009;I;N;S;;N;;INSTITUTO DE CRIMINALÍSTICA;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/05/2009;30/04/2014;10258014;;;Limpeza;
1;3;518;07.548.511-5;I;N;S;;N;;SEAB - SECRETARIA DO ABASTECIMENTO DO ESTADO DO PARANÁ;PR;62;SECRETARIA DA AGRICULTURA E DO ABASTECIMENTO DO PARANA;01/07/2009;20/12/2011;10244021;;;Limpeza;
1;3;519;362.009;I;N;S;;N;;SEAB - SECRETARIA DO ABASTECIMENTO DO ESTADO DO PARANÁ;PR;62;SECRETARIA DA AGRICULTURA E DO ABASTECIMENTO DO PARANA;01/07/2009;30/11/2014;10244023;;;Limpeza;
1;3;506;200.974.192.569;I;N;S;;N;;BANCO DO BRASIL - OPERADOR LOGÍSTICO;PR;1098;BANCO DO BRASIL S.A;22/09/2009;31/12/2010;10204010;;;Mão de Obra;
1;3;520;142.009;I;N;S;;N;;EMATER;PR;98;INSTITUTO PARANAENSE DE ASSISTENCIA TECNICA E EXTENSÃO RURAL;01/09/2009;31/03/2012;10244008;;;Limpeza;
1;3;515;4.022.009;I;N;S;;N;;IML - INSTITUTO MÉDICO LEGAL;PR;697;SECRETARIA DE SEGURANÇA PUBLICA PR;15/07/2009;15/05/2013;10258032;;29/2009;Limpeza;
1;3;632;632;I;N;N;;N;;VOLANTES - PERNAMBUCANAS PR;PR;1185;ARTHUR LUNDGREN TECIDOS S.A;03/11/2009;17/11/2015;10210004;;;Limpeza Conservação;
1;3;266;200.774.191.110;I;N;S;;N;;BANCO DO BRASIL - CARREGADORES E CONTROLE DE ESTACIONAMENTO;PR;928;BANCO DO BRASIL S.A;20/09/2007;19/09/2011;10204007;;;Limpeza Mão de Obra;
1;3;399;22.009;I;N;S;;N;;SETU - SECRETARIA DE ESTADO DO TURISMO;PR;683;SECRETARIA DE ESTADO DO TURISMO DO PR;01/06/2009;30/11/2013;10260002;;;Limpeza Mão de Obra;
1;3;657;PRE 33/2009;I;N;S;;N;;CLASPAR - Empresa Paranaense de Classificação do Paraná;PR;1195;EMPRESA PARANAENSE DE CLASSIFICAÇÃO DE PRODUTOS - CLASPAR;18/01/2010;31/07/2010;10244025;;;Limpeza Conservação Mão de Obra;
1;3;695;362.009;I;N;S;;N;;UENP - Universidade Estadual do Norte Paraná;PR;1277;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ - UENP;01/03/2010;28/02/2012;10249011;;;Mão de Obra;
1;3;673;22.010;I;N;S;;N;;UNIOESTE - Campus Toledo;PR;1173;UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ;13/02/2010;12/02/2012;10249010;;;Mão de Obra;
1;3;523;642.009;I;N;S;;N;;CELEPAR;PR;480;COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DO PARANÁ - CELEPAR;15/10/2009;08/09/2014;10245002;;;Limpeza;
1;3;655;2009SG0060;I;N;S;;N;;MINISTÉRIO DA FAZENDA DO PARANÁ;PR;6;SAMF/PR - SUPERINTENDÊNCIA D ADMINISTRAÇÃO DO MINISTÉRIO DA FAZENDA NO PARANÁ;18/01/2010;17/07/2012;10234009;;;Mão de Obra;
1;3;661;008.09;I;N;S;;N;;CLASPAR - Empresa Paranaense de Classificação do Paraná;PR;1195;EMPRESA PARANAENSE DE CLASSIFICAÇÃO DE PRODUTOS - CLASPAR;18/01/2010;31/07/2010;10244026;;;Limpeza;
1;3;414;142.009;I;N;S;;N;;EMATER;PR;98;INSTITUTO PARANAENSE DE ASSISTENCIA TECNICA E EXTENSÃO RURAL;17/06/2009;15/05/2015;10244008;Anna Paula Mendonca;;Limpeza;0,01
1;3;415;122.009;I;N;S;;N;;EMATER;PR;98;INSTITUTO PARANAENSE DE ASSISTENCIA TECNICA E EXTENSÃO RURAL;01/06/2009;17/11/2013;10244009;;;Limpeza;
1;3;118;PR 24/2005;I;N;S;;N;;TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ;PR;483;TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ;22/09/2005;11/03/2011;10208001;;;Limpeza;
1;3;416;332.009;I;N;S;;N;;SEAB - SECRETARIA DO ABASTECIMENTO DO ESTADO DO PARANÁ;PR;62;SECRETARIA DA AGRICULTURA E DO ABASTECIMENTO DO PARANA;01/06/2009;30/11/2013;10244022;;;Limpeza;
1;3;121;2005/1988(1915);I;N;S;;N;;BANCO DO BRASIL/PR;PR;470;BANCO DO BRASIL S/A;07/07/2005;06/07/2009;10204008;;;Limpeza;
1;3;417;372.009;I;N;S;;N;;SEAB - SECRETARIA DO ABASTECIMENTO DO ESTADO DO PARANÁ;PR;62;SECRETARIA DA AGRICULTURA E DO ABASTECIMENTO DO PARANA;04/05/2009;04/05/2014;10244024;;;Limpeza;
1;3;308;05/00078.0;I;N;S;;N;;BANRISUL;RS;481;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A;01/09/2005;31/08/2011;10232001;;;Limpeza;
1;3;319;CT 4156/2008;I;N;S;;N;;Caixa Econômica Federal PR;PR;922;CAIXA ECONÔMICA FEDERAL DO PARANÁ E SANTA CATARINA;13/10/2008;12/12/2013;10205002;;;Telefonia Copa;
1;3;330;CT 122/2008;I;N;S;;N;;DER - SUPERINTENDÊNCIA REGIONAL LESTE;PR;859;DEPARTAMENTO DE ESTRADAS DE RODAGEM;01/06/2008;30/04/2009;10251006;;;Limpeza;
1;3;332;CT 120/2008;I;N;S;;N;;DER - SUPERINTENDÊNCIA REGIONAL LESTE;PR;859;DEPARTAMENTO DE ESTRADAS DE RODAGEM;01/06/2008;30/04/2009;10251005;;;Limpeza;
1;3;335;72.009;I;N;S;;N;;SEAP - SECRETARIA DE ESTADO DA ADMINISTRAÇÃO E PREVIDÊNCIA;PR;691;SECRETARIA DE ESTADO DA ADMINISTRAÇÃO E PREVIDENCIA - SEAP;04/05/2009;31/01/2012;10246001;;;Limpeza Mão de Obra Jardinagem;
1;3;339;122.009;I;N;S;;N;;SEDS - SECRETARIA DE ESTADO DA FAMÍLIA E DESENVOLVIMENTO SOCIAL;PR;679;SECRETARIA DE ESTADO DA FAMÍLA E DESENVOLVIMENTO SOCIAL;04/05/2009;30/09/2012;10248001;;;Limpeza Copa;
1;3;340;112.009;I;N;S;;N;;SEDS - SECRETARIA DE ESTADO DA FAMÍLIA E DESENVOLVIMENTO SOCIAL;PR;679;SECRETARIA DE ESTADO DA FAMÍLA E DESENVOLVIMENTO SOCIAL;01/05/2009;28/02/2013;10248005;;;Limpeza Copa;
1;3;342;892.009;I;N;S;;N;;DER - DEPARTAMENTO DE ESTRADAS DE RODAGEM;PR;857;DER CURITIBA SEDE;01/07/2009;31/05/2015;10251009;Marcos Douglas Correa;;Limpeza;0,01
1;3;343;352.009;I;N;S;;N;;IAP - INSTITUTO AMBIENTAL DO PARANA;PR;719;INSTITUTO ÁGUA E TERRA;04/05/2009;08/03/2014;10254005;;;Limpeza Mão de Obra Jardinagem;
1;3;344;2.662.009;I;N;S;;N;;INSTITUTO DE CRIMINALÍSTICA;PR;2609;FUNDO ESPECIAL DE SEGURANÇA PÚBLICA DO ESTADO DO PARANÁ;01/06/2009;31/05/2014;10258016;;;Limpeza;
1;3;345;42.009;I;N;S;;N;;SUDERHSA;PR;921;SUPERINTENDÊNCIA DE DESENVOLVIMENTO DE RECURSOS HÍDRICOS E SANEAMENTO AMBIENTAL;04/05/2009;28/02/2010;10254011;;;Limpeza;
1;3;347;92.009;I;N;S;;N;;PGE - PROCURADORIA GERAL DO ESTADO DO PR;PR;700;FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO PARANA;01/06/2009;30/11/2013;10215005;;;Limpeza;
1;3;440;22.200.932.009;I;N;S;;N;;SESA - SECRETARIA DA SAÚDE;PR;711;SECRETARIA DE ESTADO DA SEGURANCA PUBLICA;01/09/2009;31/08/2011;10257008;;;Limpeza Copa Jardinagem;
1;3;522;212.009;I;N;S;;N;;PGE - PROCURADORIA GERAL DO ESTADO DO PR;PR;700;FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO PARANA;01/09/2009;31/08/2011;10215006;;;Limpeza;
1;3;524;632.009;I;N;S;;N;;CELEPAR;PR;480;COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DO PARANÁ - CELEPAR;15/10/2009;08/09/2013;10245001;;;Limpeza;
1;3;704;42.009;I;N;S;;N;;Instituto das Águas do Paraná;PR;1767;INSTITUTO DAS ÁGUAS DO PARANÁ;01/03/2010;03/05/2011;10254011;;;Limpeza;
1;3;705;62.009;I;N;S;;N;;Instituto das Águas do Paraná;PR;1767;INSTITUTO DAS ÁGUAS DO PARANÁ;01/03/2010;31/08/2011;10254012;;;Limpeza;
1;3;715;42.009;I;N;S;;N;;SEJU - Secretaria de Estado da Justiça, Cidadania e Direitos Humanos;PR;718;SECRETARIA DE ESTADO DA JUSTIÇA, TRABALHO E DIREITOS HUMANOS;08/04/2010;30/04/2014;10253004;;;Limpeza Conservação Mão de Obra;
1;3;839;1.252.010;I;N;S;;N;;Universidade Federal do Paraná;PR;1805;UNIVERSIDADE FEDERAL DO PARANÁ;01/09/2010;17/08/2015;10238001;;;Mão de Obra;
1;3;413;102.009;I;N;S;;N;;EMATER;PR;98;INSTITUTO PARANAENSE DE ASSISTENCIA TECNICA E EXTENSÃO RURAL;01/06/2009;09/08/2013;10244006;;;Limpeza;
1;3;712;362.009;I;N;S;;N;;UENP - Universidade Estadual do Norte Paraná;PR;1277;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ - UENP;01/04/2010;31/03/2012;10249012;;;Limpeza Mão de Obra;
1;3;713;362.009;I;N;S;;N;;UENP - Universidade Estadual do Norte Paraná;PR;1277;UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ - UENP;01/04/2010;31/03/2012;10249012;;;Mão de Obra;
1;3;734;91300116;I;N;S;;N;;Eletrosul Centrais Eletricas S.A;PR;1385;ELETROSUL CENTRAIS ELÉTRICAS S.A;01/07/2010;30/06/2013;10298001;;;Mão de Obra;
1;3;429;302.009;I;N;S;;N;;DETRAN - DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANÁ;PR;703;DEPARTAMENTO DE TRANSITO DO ESTADO DO PARANA;01/06/2009;31/05/2012;10258003;;;Limpeza;
